Time,Vel_X,Vel_Y,Vel_Z,Total
53.085000,0.027462,0.055809,-0.073998,0.096667
53.297000,-0.029361,0.072605,-0.056665,0.096667
53.516000,-0.009214,-0.006630,0.095998,0.096667
53.731000,-0.016825,-0.002204,0.095166,0.096667
53.952000,-0.032750,0.002595,0.090913,0.096667
54.166000,-0.052701,0.002405,0.081002,0.096667
54.387000,-0.034364,-0.002864,0.090307,0.096667
54.607000,0.013463,-0.009386,0.095263,0.096667
54.814000,0.049529,-0.000181,0.083014,0.096667
55.034000,0.064267,0.030934,0.065248,0.096667
55.246000,-0.036790,0.086258,-0.023461,0.096667
55.467000,-0.063267,0.073087,-0.000284,0.096667
55.682000,-0.052575,0.080336,0.011246,0.096667
55.895000,0.028770,0.010906,-0.091639,0.096667
56.116000,0.028796,0.002672,-0.092239,0.096667
56.332000,0.004241,0.087213,-0.041476,0.096667
56.549000,0.018103,0.017439,-0.093341,0.096667
56.770000,-0.036471,0.043592,-0.078192,0.096667
56.988000,-0.043681,0.013725,0.085135,0.096667
57.203000,0.001734,0.070143,0.066494,0.096667
57.419000,0.051437,0.056227,0.034864,0.083802
57.630000,0.030367,0.052809,0.071841,0.094192
57.846000,0.009779,0.043409,0.085817,0.096667
58.067000,-0.015748,0.051857,0.080046,0.096667
58.282000,-0.005806,0.061334,0.030074,0.068557
58.495000,-0.038606,0.066723,0.010084,0.077744
58.715000,-0.080057,0.020769,-0.050039,0.096667
58.935000,-0.006415,0.091349,0.030963,0.096667
59.148000,-0.056559,0.032183,-0.071483,0.096667
59.368000,0.000945,0.096470,0.006097,0.096667
59.587000,-0.010509,0.076739,-0.057837,0.096667
59.795000,0.000616,0.084008,-0.047820,0.096667
60.021000,-0.007279,0.050414,-0.082158,0.096667
60.233000,0.001282,0.086589,-0.041685,0.096109
60.452000,-0.005424,0.043813,-0.085997,0.096667
60.667000,0.004671,0.087249,-0.041356,0.096667
60.884000,-0.012893,0.081363,-0.050579,0.096667
61.101000,-0.012086,0.062339,-0.072885,0.096667
61.317000,0.000000,0.000000,0.000000,0.000000
61.533000,0.034511,-0.080238,0.041415,0.096667
61.745000,0.013794,0.013756,0.094683,0.096667
61.963000,-0.014265,0.010784,0.094998,0.096667
62.182000,-0.076281,0.039607,0.044237,0.096667
62.398000,-0.079465,0.054161,-0.009817,0.096667
62.615000,-0.035178,0.071557,-0.054650,0.096667
62.831000,0.051404,0.025221,-0.077884,0.096667
63.046000,0.035454,0.024685,-0.086476,0.096667
63.264000,0.024848,0.079079,-0.049735,0.096667
63.479000,0.019502,0.090414,0.028098,0.096667
63.697000,0.014382,0.092872,0.022636,0.096667
63.912000,-0.011026,0.050721,-0.081549,0.096667
64.131000,-0.039876,0.002740,0.088016,0.096667
64.350000,-0.036807,0.006111,0.089176,0.096667
64.566000,-0.082060,0.013707,0.049222,0.096667
64.785000,-0.085630,0.016420,0.041742,0.096667
65.005000,-0.063716,0.010949,0.071867,0.096667
65.215000,0.051858,-0.013496,0.080455,0.096667
65.430000,0.090979,-0.031722,0.007807,0.096667
65.646000,0.088823,-0.031476,-0.021547,0.096667
65.870000,0.041854,-0.032362,-0.080904,0.096667
66.082000,-0.033894,0.001730,-0.090513,0.096667
66.299000,-0.073813,0.062350,-0.002948,0.096667
66.522000,0.012527,0.061525,-0.073500,0.096667
66.731000,0.033546,0.010028,-0.090103,0.096667
66.946000,-0.014467,0.092978,0.022141,0.096667
67.164000,-0.003126,0.090831,0.032932,0.096667
67.384000,-0.077412,0.046998,0.033809,0.096667
67.600000,-0.064935,0.040162,0.059286,0.096667
67.813000,-0.053816,0.053043,0.060289,0.096667
68.031000,0.027163,0.063890,0.063614,0.094162
68.252000,0.032705,0.077255,0.048026,0.096667
68.468000,0.041937,0.068007,0.021439,0.082724
68.679000,0.003669,0.081723,0.051501,0.096667
68.897000,-0.033908,0.056735,-0.065752,0.093231
69.116000,-0.042143,0.047159,-0.073106,0.096667
69.337000,-0.042992,0.019592,-0.084335,0.096667
69.549000,-0.040932,0.010671,-0.086920,0.096667
69.767000,-0.016155,0.094532,-0.012130,0.096667
69.984000,-0.011190,0.090605,-0.031779,0.096667
70.198000,-0.021000,0.012281,-0.093555,0.096667
70.420000,0.016385,0.095131,-0.005098,0.096667
70.628000,0.029331,0.072247,-0.057136,0.096667
70.846000,0.026176,0.091099,0.018981,0.096667
71.066000,0.023718,0.093060,0.011032,0.096667
71.284000,0.007680,0.038561,-0.088309,0.096667
71.499000,-0.029482,-0.068710,-0.061272,0.096667
71.722000,0.066694,-0.011379,-0.026804,0.072774
71.939000,-0.000334,0.003264,0.096611,0.096667
72.153000,-0.043642,-0.001687,0.086238,0.096667
72.362000,-0.094785,-0.006718,0.017752,0.096667
72.583000,-0.094578,-0.010590,0.016950,0.096667
72.800000,-0.068547,-0.010515,0.067344,0.096667
73.013000,0.055644,-0.010817,0.078302,0.096667
73.240000,0.094926,-0.015811,0.009139,0.096667
73.454000,0.086971,-0.017483,-0.038405,0.096667
73.661000,0.021770,-0.013192,-0.093255,0.096667
73.880000,-0.047421,0.014673,-0.082948,0.096667
74.093000,-0.084301,0.045782,-0.011904,0.096667
74.315000,-0.059958,0.067042,-0.035424,0.096667
74.529000,0.039878,0.021780,-0.085322,0.096667
74.742000,0.053610,0.017193,-0.078580,0.096667
74.955000,-0.013056,0.076704,0.057363,0.096667
75.182000,-0.051522,0.044264,0.068779,0.096667
75.398000,-0.067200,0.039708,0.057026,0.096667
75.616000,-0.061690,0.034346,0.066023,0.096667
75.836000,-0.000862,0.032319,0.091100,0.096667
76.051000,0.041424,0.051963,0.070203,0.096667
76.269000,0.056854,0.060375,0.049668,0.096667
76.486000,0.061284,0.071327,0.022389,0.096667
76.696000,0.043486,0.072624,-0.046682,0.096667
76.916000,0.039922,0.000081,-0.088038,0.096667
77.135000,0.034133,-0.029155,-0.085612,0.096667
77.351000,0.007986,-0.028137,-0.092136,0.096667
77.567000,-0.024892,0.006089,-0.093208,0.096667
77.788000,-0.018310,0.049835,-0.080782,0.096667
78.006000,-0.013717,0.093279,-0.021337,0.096667
78.215000,-0.054879,0.042557,0.067243,0.096667
78.433000,-0.024436,0.004347,0.093426,0.096667
78.652000,0.003913,0.018553,0.094789,0.096667
78.864000,0.022404,0.017193,0.092450,0.096667
79.086000,0.019247,0.006504,0.094508,0.096667
79.303000,0.011263,0.017973,0.094311,0.096667
79.523000,0.007174,0.024023,0.093359,0.096667
79.728000,0.002639,0.055038,0.079425,0.096667
79.954000,-0.034009,0.085935,0.028336,0.096667
80.165000,-0.037657,0.079962,-0.039147,0.096667
80.381000,-0.021672,0.040808,-0.084909,0.096667
80.599000,-0.009053,0.038255,-0.088312,0.096667
80.815000,0.006658,0.042015,-0.086804,0.096667
81.033000,0.013183,0.040435,-0.086808,0.096667
81.252000,0.021299,0.022215,-0.091637,0.096667
81.463000,-0.011536,0.030518,-0.090995,0.096667
81.680000,-0.001313,0.028404,-0.092390,0.096667
81.903000,-0.010695,0.050827,-0.081527,0.096667
82.113000,-0.030786,0.074148,0.013197,0.081363
82.331000,-0.019712,0.004281,0.094539,0.096667
82.548000,-0.023956,0.046846,0.081092,0.096667
82.766000,-0.010914,0.004130,0.095960,0.096667
82.984000,-0.003911,0.055393,0.079125,0.096667
83.197000,0.024571,0.023633,0.090455,0.096667
83.413000,0.023256,0.026059,0.090136,0.096667
83.632000,0.030210,0.044446,0.080351,0.096667
83.849000,-0.011420,0.086218,0.042195,0.096667
84.069000,-0.024161,0.093249,-0.008084,0.096667
84.281000,-0.011782,0.045846,-0.084284,0.096667
84.497000,-0.005016,0.023231,-0.093700,0.096667
84.717000,0.001643,0.011464,-0.095970,0.096667
84.936000,0.005154,0.010607,-0.095945,0.096667
85.152000,0.003931,0.016103,-0.095235,0.096667
85.362000,0.008113,0.025393,-0.092918,0.096667
85.585000,0.010501,0.048299,-0.083074,0.096667
85.801000,0.011437,0.093185,-0.023028,0.096667
86.019000,0.013613,0.079113,0.053853,0.096667
86.236000,0.005786,0.053593,0.080242,0.096667
86.445000,-0.000608,0.040892,0.087589,0.096667
86.663000,0.005362,0.003410,0.096458,0.096667
86.880000,-0.007558,0.021357,0.093975,0.096667
87.101000,-0.009637,0.044313,0.085369,0.096667
87.314000,-0.003562,0.036330,0.089509,0.096667
87.530000,-0.004104,0.042963,0.086497,0.096667
87.752000,-0.009693,0.050631,0.081774,0.096667
87.967000,-0.021898,0.058788,0.064623,0.090065
88.182000,-0.036021,0.083753,0.032130,0.096667
88.400000,-0.050996,0.081661,-0.008675,0.096667
88.616000,-0.044710,0.075399,-0.040749,0.096667
88.836000,-0.032365,0.075462,-0.051014,0.096667
89.050000,-0.018475,0.060462,-0.073126,0.096667
